target,1rank,2rank,3rank
447,447,2097,2163
443,443,1912,485
445,445,1469,681
449,163,1010,1321
448,448,907,999
446,446,621,1877
444,444,2723,1577
1889,1889,2077,1786
1074,1074,1982,891
81,81,681,1447
2641,2641,1968,1017
1704,1704,2051,2586
492,492,1321,2144
381,163,1010,1321
490,490,148,320
489,1342,2207,489
488,488,2031,1027
963,963,290,978
379,753,765,379
380,371,380,1229
491,757,2256,1583
486,960,2316,1377
487,915,1825,96
466,466,1758,189
899,899,1179,2146
1835,492,1321,2144
1836,1836,673,2366
1837,1837,222,2225
478,478,1957,2478
1838,1838,309,1964
884,945,884,2278
2688,865,477,2688
2085,2085,393,2682
2086,2086,2635,847
2590,2590,2564,1079
794,794,911,718
793,2433,1987,296
1472,1472,423,349
460,2602,1027,460
201,201,1429,2306
202,1478,202,2657
2458,2458,1390,139
1268,1268,1859,2174
2371,2398,2647,1683
2127,2127,338,1983
1210,107,1210,1561
503,1661,503,569
1032,1032,2113,162
1638,337,149,2182
1639,902,1639,2646
2054,2054,1161,1337
1791,1791,1129,1063
1885,1885,2160,1176
494,494,1070,1489
15,15,2692,1698
933,933,761,2618
1792,1688,1792,1730
1732,1732,56,1755
2271,2271,1487,2045
863,863,1403,2673
237,237,2686,2009
665,665,176,2403
1936,1936,2556,555
310,310,1133,2059
818,818,384,1059
1073,1073,611,810
89,89,1853,702
1865,1865,1849,1366
1866,1866,1910,45
1137,1137,253,1619
2082,2082,1336,1608
1222,1222,2421,1630
529,529,191,216
2280,2517,1216,223
2437,2437,2595,1430
1964,1838,309,1964
1963,58,1963,637
1641,1641,352,2319
143,143,798,472
358,598,358,961
934,934,441,1670
540,540,1325,675
2661,2661,1890,982
1346,1346,1340,582
2111,2111,2377,1731
1945,1945,283,2053
2178,934,441,1670
2143,2143,821,487
1793,1793,351,1806
485,485,1912,411
2440,8,1578,2440
2441,2441,59,290
728,728,160,1136
1859,1268,1859,2174
866,866,2126,424
1360,1360,1952,1550
2412,2412,879,334
1349,1349,1125,461
1348,1348,2641,2119
1347,1347,1719,949
975,975,1606,1776
2108,2108,2026,398
1961,2602,1027,460
156,1756,156,109
368,368,1038,474
252,252,632,1016
1038,368,1038,474
1037,1037,1066,1234
1650,1650,869,2130
2619,2619,656,15
1670,934,441,1670
1995,1995,1707,1010
1686,2325,2448,910
385,385,1618,1032
2107,2107,311,1957
2632,2632,1572,1236
178,1492,178,1561
341,341,1842,2033
1508,2244,1378,1508
2171,1354,2573,952
1714,1714,2599,1174
1726,1726,1871,217
1108,1108,2493,2196
2106,2106,2217,122
2224,2224,114,2091
1586,1586,1598,870
2356,163,1010,1321
2407,2407,1167,819
2406,2325,2448,910
2408,1675,2408,378
2537,2537,1187,1534
721,721,2007,1979
2347,994,417,2347
2172,512,1563,2172
551,551,2255,2427
1139,1139,1068,2511
2520,2520,639,1834
437,437,2077,1382
744,744,1089,524
627,627,867,1431
2007,2007,2577,721
324,324,317,372
2304,2304,1924,471
2268,1240,2018,2268
1312,1312,687,572
2446,2446,911,794
2612,141,2612,774
654,654,1906,2289
404,2263,775,404
1408,1408,841,1049
1058,1058,949,1214
2102,2246,2102,2027
2631,2631,1523,628
2701,2701,2054,1318
559,559,1418,2059
1252,1252,2191,1123
1251,2624,1251,597
1250,688,93,1935
1249,2553,2328,1249
1248,1248,129,461
1246,1342,2207,489
1253,1253,1560,2407
1247,1247,1970,445
562,562,2065,2123
1405,965,2184,1405
323,323,767,2167
760,760,1242,1424
322,322,1922,989
1646,1646,2551,1388
321,321,2686,1235
1495,198,1495,1305
966,966,2036,1781
625,625,415,527
39,137,2230,39
935,935,1228,2486
2190,1473,2242,2190
2125,2125,1049,692
1716,777,1716,1996
1715,1715,212,2494
1845,1845,2516,1426
1948,1028,988,1446
1949,1949,787,659
1950,1950,1763,470
594,594,2490,1481
2093,2093,2547,829
347,347,541,1189
1895,1895,2418,1060
1896,492,1321,2144
1894,1894,778,2609
1898,1898,1575,67
1049,1049,692,1719
1897,490,148,320
1051,1898,1575,67
1050,1050,1308,2066
790,790,1360,1406
1523,1523,2501,407
1848,58,1963,637
1637,913,1637,1968
1827,1827,186,888
1110,1110,907,735
2514,2514,400,2215
2513,2513,1958,595
153,153,2377,2096
715,715,2538,2669
1849,1865,1849,1366
120,120,1437,2012
1272,1272,1122,794
2508,2508,2286,1775
1136,1136,722,2204
2684,2684,1926,1977
2284,1354,2573,952
2283,163,1010,1321
2282,2282,1062,2233
2281,2281,2471,2564
2297,2297,850,898
355,355,2474,2630
45,1474,45,1866
2675,2675,273,2512
43,43,2262,2672
44,44,925,742
672,2532,672,2551
681,681,81,1485
1335,1335,1966,376
2650,2650,588,926
1993,1993,2248,340
42,42,2568,598
275,1533,2442,1368
1329,1369,1329,1897
274,274,1607,2671
1131,1131,2585,610
2211,2211,1086,1183
475,475,256,917
1484,1484,1120,1270
1971,1971,1854,1673
170,170,749,188
1603,1603,267,176
2088,2088,492,954
293,293,543,2487
896,896,1076,2073
388,571,388,1230
387,387,2677,1255
2567,2567,335,2337
1350,1350,2062,2226
1020,2146,1020,1186
2009,2009,2132,178
1174,1174,614,2054
941,941,1135,1700
1819,1819,1962,1982
2706,2706,2493,2530
2313,2313,398,2108
16,16,1485,1170
523,523,1054,1589
520,520,1007,2213
521,521,653,548
522,522,1039,826
524,524,744,1942
221,221,1537,1773
60,2070,60,1275
2482,2498,2482,2494
1306,1306,297,1271
1101,1101,1260,2226
1100,1100,321,1390
1645,1645,641,602
1644,1644,1534,1762
1607,274,1607,2671
789,750,789,1548
1060,1060,2113,2163
2053,1052,2053,2699
1920,1920,2009,926
1919,1919,1210,107
690,915,1825,96
1814,8,1578,2440
58,58,1963,637
2419,1858,2419,110
53,1750,257,638
1075,1075,672,1709
343,343,2395,2480
2552,2552,2482,2498
838,838,299,193
432,432,747,2692
1124,1124,868,1762
976,976,181,2470
2388,2388,360,2444
353,353,803,2009
37,277,37,2594
1555,1555,216,2396
1554,1554,2582,1189
2553,2553,2328,1249
38,38,2170,1612
2037,2037,1710,525
845,57,845,1556
2392,2392,1475,2686
2393,2393,164,78
848,848,2530,946
1424,1424,588,547
1909,1909,570,1047
849,1045,701,1601
2128,2128,1161,2386
307,307,2213,1881
1600,1600,2697,1941
2586,1704,2051,2586
338,338,803,724
2267,2267,1728,1543
777,777,1716,1996
1116,1116,2372,876
431,431,2069,2063
