target,1rank,2rank,3rank,4rank,5rank,6rank,7rank,8rank,9rank
186,888,186,2422,2694,1684,1105,2626,240,1827
871,871,2255,2169,551,1667,1975,2687,1851,14
2447,2447,172,1826,1545,2709,2417,787,2599,248
140,140,1571,771,608,2193,2664,255,825,1889
2101,1004,2254,2101,79,2206,2466,1215,1458,927
105,105,261,2500,912,221,610,2166,287,369
289,289,2456,1345,742,1012,20,2095,2681,1815
1965,1493,1965,2585,1479,857,1711,2117,284,2662
919,919,511,1087,1764,184,1243,1105,2519,1074
2299,239,2299,856,758,171,983,305,1344,2542
2219,1787,2219,2194,406,2425,1947,2706,1108,2096
1739,238,1998,1289,1696,2592,2674,717,581,1903
2454,2454,816,509,957,74,533,2580,658,2110
2158,2158,143,2305,2563,2660,352,1098,1926,254
288,288,1970,2015,598,312,85,31,112,2089
192,192,2459,709,2233,2152,911,714,2075,1630
1512,1512,612,1997,1867,803,808,817,111,1789
185,185,2415,2536,917,1141,1927,1130,2659,338
1314,1314,31,81,1452,1031,85,2017,211,2303
2333,2333,1393,2318,1618,941,1275,1135,2084,1282
548,1943,548,653,1780,1255,434,2067,787,1382
1649,1649,512,1563,1317,2172,2268,1867,2018,421
248,248,355,1400,2417,856,2447,722,1904,1385
222,222,1531,818,1630,1637,913,384,1324,2119
1809,1996,1809,213,2721,1353,167,1777,2696,1016
2651,2651,2617,1620,1269,1063,1791,206,1621,737
626,626,1770,949,1214,2343,1047,483,1574,1247
2572,492,1321,2144,1915,2584,373,1896,954,951
2573,1354,2573,952,2341,2016,956,234,2284,2171
992,260,992,1090,277,2638,37,908,1094,501
2212,2277,2212,640,2097,1324,1118,2203,1405,2184
2527,2527,1436,1348,1457,1449,983,1212,839,2641
1595,1595,1242,1450,2598,817,505,1912,485,1981
1165,1219,741,1165,631,1973,2618,2416,2403,2130
418,418,974,1516,2019,315,2683,595,695,1517
2536,2536,2415,2659,1920,322,1130,175,1113,955
1298,1298,205,229,567,1414,1370,1073,1336,1081
1299,1355,1299,109,1196,403,335,2053,645,1756
2200,163,1010,1321,2411,2493,571,408,1330,2375
2198,163,1010,1321,2411,2493,571,408,1330,2375
2199,2199,1574,595,112,312,2542,2089,880,1031
1972,1972,2067,548,1943,2189,1826,1444,1223,653
2605,2605,1243,1490,517,204,391,2528,1399,1545
1241,1241,2287,2045,2706,1634,1482,1014,1234,1703
1326,1326,2044,807,132,459,941,2021,1275,240
2630,2630,452,266,1132,1806,1238,199,1547,2595
212,212,2494,752,1715,2071,164,1942,842,2482
1520,1520,2050,1080,2463,2694,1703,2348,134,33
1521,1521,834,336,1079,2104,2079,1801,242,737
1522,1522,2132,326,1287,1036,1920,1805,1134,1569
1021,1021,2504,2362,397,694,475,2134,16,2625
2391,2391,301,1582,2471,2564,1455,2331,2513,781
2081,2081,1863,1321,1896,2003,1610,569,951,1396
279,279,2005,333,608,547,1046,695,1210,791
1577,2416,1577,444,691,263,1362,631,1219,1973
1528,1528,561,2070,60,329,1568,55,2571,528
2046,2046,1393,986,1632,1695,1060,1618,2084,866
278,238,1998,1289,1696,2592,2674,717,581,1903
54,54,762,546,525,1551,1100,1676,698,1392
2036,966,2036,1781,980,2317,6,864,2147,1109
1245,1245,388,2554,1230,571,1883,2256,2257,2286
48,48,1423,325,1983,282,984,775,1764,421
62,62,564,2728,1567,804,155,1752,78,63
2546,2546,357,1525,427,2650,326,620,2438,823
13,13,1486,1865,1849,2622,1278,806,2272,2470
1552,1552,84,674,629,2130,575,1700,2544,1712
1553,362,1553,886,1250,688,118,84,1723,243
1256,1256,40,0,1784,2455,1349,2706,1833,1746
1712,2060,1712,2160,2501,1615,1176,2639,407,490
2610,2610,734,1417,1026,2058,151,445,2372,2221
679,1976,2038,699,679,1873,365,1332,1963,1848
2502,2502,2712,2568,5,1587,2382,1820,829,2225
2228,2228,2329,2026,2108,80,422,498,99,1577
2503,2503,1407,2103,1710,2009,513,499,1679,1123
2330,1044,1893,586,1483,2330,646,1099,1681,2648
552,552,613,610,2213,10,1175,226,2583,157
2616,163,1010,1321,2411,2493,571,408,1330,2375
2327,2327,527,1311,415,383,1238,2290,782,199
271,271,1933,1107,488,2031,1654,1061,1027,1066
2328,2553,2328,1249,1320,2305,2660,1869,1456,367
2329,2329,99,2228,1577,1402,498,524,564,1855
659,659,281,1949,603,2540,2638,1090,1596,2420
