target,1rank,2rank,3rank,4rank,5rank
2503,2503,1407,2103,1710,2009
2330,1044,1893,586,1483,2330
552,552,613,610,2213,10
2616,163,1010,1321,2411,2493
2327,2327,527,1311,415,383
271,271,1933,1107,488,2031
2328,2553,2328,1249,1320,2305
2329,2329,99,2228,1577,1402
659,659,281,1949,603,2540
859,531,859,61,2281,2495
2596,2596,2361,2648,1395,1824
254,254,1693,978,1581,1588
2549,2549,412,1387,1901,2455
1483,1044,1893,586,1483,2330
748,748,1217,1518,2334,18
1470,1470,896,1731,1197,5
1260,1101,1260,2226,233,2571
199,199,266,452,2630,1626
2386,2386,2301,931,2483,1274
878,878,2307,1274,731,548
1660,1729,1660,2368,2629,302
92,92,1111,2698,2064,2121
2134,408,2134,2574,1720,801
1127,1127,1384,1136,593,32
1128,1128,82,1473,2366,1368
1129,1129,1892,108,2279,1543
1130,1130,1546,1533,2442,1368
1191,1191,2084,595,814,1931
68,68,1297,923,1307,1885
230,1042,1208,1633,2274,188
111,740,111,808,669,1185
1364,1364,865,2688,477,505
214,214,1270,33,1232,726
1817,1817,444,103,1362,1832
439,439,818,384,856,222
2462,2462,1009,1539,2287,2477
2130,2130,365,699,679,1650
2456,289,2456,1345,742,1012
2242,1473,2242,2190,2366,2110
100,100,2716,625,2314,2677
169,169,668,803,1235,1509
2594,2594,2540,1826,277,37
2027,2027,338,1723,535,1429
847,847,1504,2086,2635,2226
270,163,1010,1321,2411,2493
73,73,1161,1255,434,1780
561,561,1736,770,1568,2480
269,915,1825,96,241,487
2600,730,2600,1036,1522,803
1471,1838,309,1964,1471,1273
297,297,1212,2079,726,1306
296,2433,1987,296,793,693
1320,1320,1869,1456,570,1249
1917,1917,2055,766,698,1392
32,2369,2153,32,789,1838
295,295,1609,1475,1698,2686
1862,965,2184,1405,1862,849
1069,1069,1133,788,332,1640
2287,2287,1241,1487,2261,2045
1148,1148,219,258,281,2594
2475,2475,384,2657,1059,1041
2474,2474,355,1711,2117,2662
2477,2477,864,2462,1972,1786
2473,2473,1721,1274,714,210
184,1764,184,1498,2277,2212
2472,1672,2472,2523,2724,1492
2476,2476,1409,653,2331,369
2696,2696,1353,213,1313,167
2490,2490,1481,2474,1226,2715
218,218,2238,315,1516,1604
1026,2058,1026,2372,876,2365
1768,1768,154,2084,2518,595
1877,1877,2713,2608,467,1547
636,636,93,1935,243,1250
370,370,217,471,708,513
914,163,1010,1321,2411,2493
6,6,980,966,2358,2036
913,913,1637,1968,1059,222
1205,1205,2124,1352,2644,736
1805,1134,1805,1112,1880,2132
1994,1994,493,158,1235,752
1200,1200,2357,2625,106,1055
1959,1959,1126,1529,677,2205
2697,1600,2697,1941,1254,1668
1772,1772,841,1587,2382,397
1604,1604,218,1212,1725,160
2203,2203,2624,2277,2564,1251
2206,79,2206,465,985,303
900,900,781,2231,2279,1225
1934,1934,1797,575,2295,1466
2438,2438,1544,418,603,2151
