,accord_text
 Chypre 21,
 Coccobello,
 Cuir Pleine Fleur,
 Eau Sacree,
 Esprit du Tigre,
 Figuier,
 Hippie Rose,
 Iris de Nuit,
 Jasmine OD,
 L'Amandiere,
 Menthe Fraiche,
 Note de Yuzu,
 Ophelia,
 Oranges and Lemons Say The Bells of St. Clements,
 Phoenicia,
 Rose Aria,
 Sel Marin,
 Verveine,
 Vetiver Veritas,
 Zeste de Gingembre,
12,
 Coriandre,
 Eau de Coriandre,
 Eau Fraiche,
 Keora,
 Lilas Mauve,
 Marjolaine,
 Monsieur Couturier,
 Paris Baroque,
 Un Jardin a Paris,
 Vanilla Exotica,
 Ginger,
 Patchouli,
1000,
1000,
 2000 en Patou,
 Adieu Sagesse,
 Amour Amour,
 Caline,
 Chaldee,
 Cocktail,
 Cocktail Dry,
 Colony,
 Divine Folie,
 Divine Folie Parfum,
 Eau de Patou,
 Hip,
 Invitation,
 L'Heure Attendue,
 Lacoste,
 Lasso,
 Le Sien,
 Ma Liberte,
 Makila,
 Moment Supreme,
 Monsieur Net,
 Nacre,
 Normandie,
 PanAme,
 Patou For Ever,
 Patou pour Homme,
 Patou Pour Homme Prive,
 Que sais je?,
 Sira des Indes,
 Un Amour de Patou,
 Vacances,
 Voyageur,
 Collection Heritage Adieu Sagesse,
 Collection Heritage ChaldÃ©e,
 Collection Heritage Colony,
 Collection Heritage Deux Amours,
 Collection Heritage Eau de Patou,
 Collection Heritage L'Heure Attendue,
 Collection Heritage Patou Pour Homme,
 Collection Heritage Que Sais-Je?,
 Collection Heritage Vacances,
 Joy Forever Eau de Toilette,
 Eau de Joy,
 Enjoy,
 Joy,
 Joy Collector Edition Eau de Parfum,
 Joy Collector's Edition Pure Perfume,
 Joy Forever,
 Joy Limited Edition Parfum 2016,
 Joy Parfum Baccarat Edition,
 Sublime,
 Sublime Eau de Parfum,
 Sublime Eau ParfumÃ©e pour le Corps,
 Sublime Ãdition LimitÃ©e Or,
 Sublime Parfum,
 Monsieur Eau du Matin,
 Classique,
 Classique Alcohol Free Summer Fragrance 2006,
 Classique Autumn Winter,
 Classique Belle en Corset,
 Classique Betty Boop Eau Fraiche,
 Classique Bien Roulee,
 Classique Cabaret Eau de Parfum,
 Classique Charm Edition,
 Classique Collector Edition 2018,
 Classique Collector Glam Edition,
 Classique Collector's Snow Globe,
 Classique Corset Couture,
 Classique Couple,
 Classique Eau d'Ete 2003,
 Classique Eau de Parfum,
 Classique Eau de Parfum Airlines,
 Classique Eau de Parfum Collector 2017,
 Classique Eau de Toilette Collector Edition 2017,
 Classique Eau de Toilette X-Mas Edition 2020,
 Classique Eau FraÃ®che AndrÃ© Edition,
 Classique Eau FraÃ®che Gaultier Airlines,
 Classique Edition Collector,
 Classique Essence de Parfum,
 Classique Gold Collection,
 Classique Intense,
 Classique Intense Collector Glam Edition,
 Classique L'Eau d'Ete,
 Classique L'Eau d'Ete Sans Alcohol,
 Classique l?Eau d?EtÃ© 2007,
 Classique La Robe Chinoise,
 Classique Les d'ete 2005,
 Classique Limited Edition 2003,
 Classique Love Actually,
 Classique Pin Up,
 Classique Pirate Edition,
 Classique Prestige,
 Classique Pride Edition,
 Classique Robe Velours,
 Classique Rock Star,
" Classique Silver My Skin
 ",
 Classique Summer 2010,
 Classique Summer 2011,
 Classique Summer 2012,
 Classique Summer 2013,
 Classique Summer 2015,
 Classique Summer Edition 2014,
 Classique Summer Fragrance 2008,
 Classique Summer Fragrance 2009,
 Classique Wonder Woman Eau Fraiche,
 Classique X,
 Classique X Eau de Parfum,
 Classique X Extrait,
 Classique X Jewel Edition 2011,
 Classique X L'Eau,
 Classique X Love Actually,
 Classique Xmas Limited Edition 2021,
 Jean Paul Gaultier Summer,
 Fragile,
 Fragile Eau de Toilette,
 Gaultier 2,
 Gaultier 2 Eau d'Amour,
 Kokorico,
 Kokorico by Night,
 La Belle,
 La Belle Fleur Terrible,
 La Belle Le Parfum,
 Le Beau,
 Le Beau Le Parfum,
 Le Beau Male,
 Le Beau Male Capitaine Collector,
 Le Beau Male Edition Collector,
 Le Beau Male Summer 2014,
 Cologne Tonique Le Male Summer 2008,
 Fleur du MÃ¢le,
 La Cologne Fleur du Male,
 Le Male,
 Le Male Aviator,
 Le Male Capitaine Collector,
 Le Male Collector Edition 2017,
 Le Male Collector Edition 2018,
 Le Male Collector's Snow Globe,
 Le Male Couple,
 Le Male Eau d'Ete 2004,
 Le Male Eau de Toilette Airlines,
 Le MÃ¢le Eau FraÃ®che AndrÃ© Edition,
 Le MÃ¢le Eau FraÃ®che Gaultier Airlines,
 Le Male Edition Collector,
 Le Male Essence de Parfum,
 Le Male Gladiator,
 Le Male In The Navy,
 Le Male Jean Paul Cool,
 Le Male Kilt,
 Le Male Le Parfum,
 Le Male Les d'Ete 2005,
 Le Male Limited Edition 2009,
 Le Male Love Actually,
 Le Male On Board,
 Le Male Pin-Up Collectors Edition,
 Le Male Pirate Edition,
 Le Male Popeye Eau Fraiche,
 Le Male Prestige Edition,
 Le MÃ¢le Pride Collector,
 Le Male Pride Edition,
 Le Male Scuba Diver,
 Le Male Shaker Limited Edition,
 Le Male Silver My Skin,
 Le Male Stimulating Body Spray 2006,
 Le Male Summer 2010,
 Le Male Summer 2011,
 Le Male Summer 2012,
 Le Male Summer 2013,
 Le Male Summer 2014,
 Le Male Summer 2015,
 Le Male Summer Fragrance 2009,
 Le Male Superman Eau Fraiche,
 Le Male Supreme Edition,
 Le Male Terrible,
 Le Male Terrible Shaker,
 Le Male Tonique Cologne,
 Le Male X-Mas Edition 2020,
 Le Male Xmas Limited Edition 2021,
 Super Le Male Collector,
 Ultra Male,
 Ma Dame,
 Ma Dame Eau de Parfum,
 Ma Dame Eau Fraiche,
 Ma Dame Eau Fraiche Summer 2010,
 Ma Dame It,
 Ma Dame Kiss Me Love Me,
 Ma Dame Rose'n'Roll,
 Scandal,
 Scandal A Paris,
 Scandal By Night,
 Scandal Collector's Snow Globe Edition,
 Scandal Eau de Parfum X-Mas Edition 2020,
 Scandal Gold,
 Scandal Pour Homme,
 Scandal Xmas Limited Edition 2021,
 So Scandal!,
 Colonial Club Legend,
 Amore Mio,
 Amore Mio Dolce Paloma,
 Amore Mio Eau de Parfum,
 Amore Mio Forever,
 Amore Mio Garden of Delight,
 Amore Mio I Love You,
 Amore Mio Passion,
 Amore Mio White Pearl,
 Arome Absolu,
 Arome Arthes,
 Arome Arthes Secret,
 Arome Arthes Seduction,
 Art S,
 Arthes Essential Jasmin Du Nil,
 Arthes Essential Patchouli Sumatra,
 Arthes Essential Rose Damascus,
 Arthes Love Never Dies Gold,
 Arthes You & Me,
 Astronomy,
 Balade Ã  Paris SoirÃ©e Rooftop,
 Boum,
 Boum Be Different,
 Boum Candy Land,
 Boum Catch Me,
 Boum Cherry,
 Boum Green Tea Cherry Blossom,
 Boum Honey,
 Boum Mango,
 Boum Muscat,
 Boum Pour Homme,
 Boum Que Calor,
 Boum Savon,
 Boum Sport,
 Boum Sweet Lollipop,
 Boum Vanille Sa Pomme d'Amour,
 Bruce Benson,
 C'est la Fete!,
 Caliber 12,
 Candy Drops Honey Lemon,
 Candy Drops Peach Sugar,
 Capricieuse,
 Cassandra,
 Cassandra Blanc,
 Cassandra Bleu,
 Cassandra Bouquet de Pivoines,
 Cassandra Pour Homme,
 Cassandra Rose Intense,
 Cassandra Rose Jasmin,
 Cassandra Rose Rouge,
 Cassandra Roses Blanches,
 Cassandra Violette Intense,
 Club Aficionado for Men,
 CO2,
 CO2 Extreme,
 CO2 Pink Label,
 CO2 Pour Femme,
 Cobra,
 Cobra Amarillo,
 Cobra for Her Version Inedite,
 Cobra for Him Version Inedite,
 Cobra Hot Game,
 Cobra Ice Breaker,
 Colonial Club,
 Colonial Club Signature,
 Colonial Club Ypsos,
 Cotton Club,
 Cotton Club Women,
 Extreme Limit Rock,
 Extreme Limite Energy,
 Fuel Power for Men,
 Fuel Power for Women,
 Golden Goal,
 Ice Breaker,
 Jeanne,
 Jeanne No.2,
 JS Magnetic Power,
 JS Magnetic Power Night,
 JS Magnetic Power Sport,
 JS Navy Blue,
 JS Women,
 La Voile Rouge,
 Les Lions D'Arthes 2001,
 Les Lions D'Arthes 2012,
 Les Lions d'Arthes Homme,
 Les Lions D'Arthes Men,
 Love Generation Art's,
 Love Generation Blue,
 Love Generation Do Brasil,
 Love Generation Dream,
 Love Generation Fashion Victim,
 Love Generation Freedom,
 Love Generation Leopard,
 Love Generation Mystic,
 Love Generation Pin Up,
 Love Generation Pink,
 Love Generation Rock,
 Love Generation Sexy,
 Love Never Dies,
 Love Never Dies Black Jewel,
 Love Never Dies Diva,
 Love Never Dies Night Dream,
 Love'n Blue,
 Lovely Sweet Sixteen,
 Lover,
 Lover Blackberry,
 Lover Sweet Juice,
 Lucky Star,
 Luxure,
 Made In Love,
 Mascarade,
 Mezza Luna,
 Mixte Femme,
 Mixte Homme,
 Perpetual Black Pearl,
 Perpetual Pearl,
 Perpetual Silver Pearl,
 Piercing,
 Private Room,
 Rocky Man,
 Rocky Man Irridium,
 Rocky Man Redlight,
 Rocky Man White,
 Romantic,
 Romantic Blossom,
 Romantic by Jeanne Arthes,
 Romantic Lady,
 Romantic Story,
 Rose Bonbon,
 Sexy Boy Sport,
 Sexy Coconut,
 Sexy Girl,
 Sexy Girl Can't Stop,
 Sexy Me No1,
 Sexy Me No2,
 Sexy Me No3,
 Sexy Me No4,
 Sexy Vanilla,
 Shanghai Night,
 Silver Goal,
 Silver Man,
 Smiley,
 Sultan Men,
 Sultane,
 Sultane 1001 Nights,
 Sultane Black Men,
 Sultane Fairy Rose,
 Sultane Gold,
 Sultane Gold Men,
 Sultane L'Eau Fatale,
 Sultane Noir Velour,
 Sultane Nuit Fatale,
 Sultane Parfum Fatal,
 Sultane Pink,
 Sultane Silver,
 Sultane White Pearl,
 Sun,
 Supercharged,
 Sur Un Nuage,
 Sweet Sixteen,
 Tea Time Ã  Paris Macaron Amande,
 Zingarella,
 Guipure & Silk,
 Guipure & Silk Aqua Heaven,
 Guipure & Silk Crystal,
 Guipure & Silk Havana Moon,
 Guipure & Silk Rose,
 Guipure & Silk Ylang Vanille,
 Joe Sorrento Sport,
 Joe Sorrento The Flasher,
 Angie,
 Eva,
 Kate,
 Nickie,
 Amore Mio Tropical Crush,
 Fleur de TiarÃ©,
 Jasmin de Provence,
 Musc Ambre,
 Rose de Grasse,
 Vanille Tropicale,
 Best Friends Forever,
 Go For It,
 Is This Love?,
 Never Stop Smiling,
 Over The Rainbow,
 Barba Panda,
 Crush Potion,
 Liquid Love,
" Lolli Unicorn
 ",
 Mango Smoothie,
 Passion Overdose,
 Sexy Chamallow,
 Sorbet Berries,
 Vanilla Ice Cream,
 Before Midnight,
 John Galliano,
 John Galliano Eau de Toilette,
 Parlez-Moi d'Amour Eau de Parfum,
 Parlez-Moi d'Amour Encore,
 Parlez-Moi d'Amour Gold Edition,
 Parlez-Moi d?Amour,
 Parlez-Moi d?Amour By Night,
 Parlez-Moi d?Amour Charming Edition,
 Parlez-Moi d?Amour Eau Fraiche,
 21 Conduit St,
 Ambre Premier,
 Fire At Will,
 Gardez Moi,
 Incident Diplomatique,
 Jus Interdit,
 L'Art de la Guerre,
 L?Arbre de la Connaissance,
 L?Enfant Terrible,
 La Liturgie des Heures,
 Les Jeux sont Faits,
 Lys Epona,
 Pavillon Rouge,
 Private Label,
 Psychedelique,
 Quand?,
 Remember Me,
 Rose Millesimee,
 Rouge Assassin,
 Sans un Mot,
 Sombres Dessins,
 Terra Incognita,
 Touche Finale,
 Boise,
 Chypre,
 Fougere,
 Hesperide,
 Marine,
 Oriental,
 Poudre,
 # What Matters is Inside - Italy,
 Amour de Palazzo,
 Aqua Sextius,
 Secrets du Paradis Rouge,
 Stairway To Heaven,
 Stilettos on Lex,
 Terrasse Ã  St-Germain,
 Bergamote Twist,
 Cedrat Gingembre,
 Ganja Oud,
 Lys Nobilis,
 Noisette Iris,
 Revelo,
 Vetiver Cuir,
 Bella Donna,
 Fugit Amor,
 Garuda,
 Mon Seul Desir,
 NÃ©a,
 Nin-Shar,
 Another Oud,
 Anyway,
 Calamity J.,
 Citizen Queen,
 Gentlewoman,
 Lady Vengeance,
 Lili Fantasy,
 Lipstick Fever,
 Mad Madame,
 Magnolia Bliss,
 Midnight Oud,
 Miss Charming,
 Mmmm...,
 Moscow Mule,
 Musc Invisible,
 Not A Perfume,
 Not A Perfume Superdose,
 Pear Inc,
 Romantina,
 Sunny Side Up,
 Vanilla Vibes,
 Vengeance Extreme,
 In The Mood For Oud,
 Into The Void,
 Liquid Illusion,
 Metal Chypre,
 Moon Dance,
 Oil Fiction,
 White Spirit,
 ChloÃ© (Parfums Lagerfeld),
 Jako,
 Karl Lagerfeld for Her,
 Karl Lagerfeld for Him,
 Karl Lagerfeld Paradise Bay for Men,
 Karl Lagerfeld Paradise Bay For Women,
 Karl Lagerfeld Private Klub for Men,
 Karl Lagerfeld Private Klub for Women,
 Karleidoscope,
 KL,
 KL Homme,
 Lagerfeld Femme,
 Lagerfeld Men,
 Liquid Karl,
 Ocean View For Men,
 Ocean View for Women,
 Photo,
 Sun Moon Stars,
 Kapsule Floriental,
 Kapsule Light,
 Kapsule Woody,
 Lagerfeld Classic,
 Lagerfeld Classic Grey,
 Bois d'Ambre,
 Bois de Cedre,
 Bois de Vetiver,
 Bois de Yuzu,
 Fleur d'Orchidee,
 Fleur de Murier,
 Fleur de Pecher,
 Fleur de ThÃ©,
 Karl Hamburg Alster,
 Karl New York Mercer Street,
 Karl Paris 21 Rue Saint-Guillaume,
 Karl Rome Divino Amore,
 Karl Tokyo Shibuya,
 10:10 AM in Sicilia,
 5:40 PM in Madagascar,
 7:15 AM in Bali,
 Air,
 Air Intense,
 Ca Sent Beau,
 Floralista,
 Kashaya,
 Kenzo,
 King Kong,
 Le Monde Est Beau,
 Once Upon a Time pour Femme,
 Once Upon a Time pour Homme,
 Parfum d'Ete 1992,
 Parfum d'Ete 2002,
 Peace,
 Power,
 Power Cologne,
 Summer by Kenzo,
 Time for Peace,
 Time for Peace,
 Tokyo by Kenzo,
 Unidentified Fragrance Object,
 Wild,
 Kenzo Amour,
 Kenzo Amour Florale,
 Kenzo Amour I Love U,
" Kenzo Amour Indian Holi
 ",
 Kenzo Amour Le Parfum,
 Kenzo Amour Make Me Fly,
 L'Eau de Kenzo Amour,
 Aqua Kenzo pour Femme,
 Aqua Kenzo pour Homme,
 Couleur Kenzo Jaune-Yellow,
 Couleur Kenzo Rose-Pink,
 Couleur Kenzo Violet,
 Flower by Kenzo,
 Flower by Kenzo 20th Anniversary Edition,
 Flower by Kenzo Eau de LumiÃ¨re,
 Flower by Kenzo Eau de Toilette,
 Flower by Kenzo Eau de Toilette (2021),
 Flower by Kenzo Eau de Vie,
 Flower by Kenzo Eau Florale,
 Flower by Kenzo Edition d'Artistes,
 Flower by Kenzo Essentielle,
 Flower by Kenzo L'Absolue,
 Flower by Kenzo L'Eau Originelle,
 Flower by Kenzo L'Elixir,
 Flower by Kenzo La Cologne,
 Flower by Kenzo Le Parfum,
 Flower by Kenzo Legere,
 Flower by Kenzo Limited Edition 2004,
 Flower by Kenzo Oriental,
 Flower by Kenzo Poppy Bouquet Couture Edition,
 Flower by Kenzo Poppy Bouquet Eau de Parfum,
 Flower by Kenzo Poppy Bouquet Eau de Toilette,
 Flower by Kenzo Red Edition,
 Flower by Kenzo Spring Fragrance,
 Flower by Kenzo Summer 2008,
 Flower by Kenzo Summer 2011,
 Flower by Kenzo Summer Fragrance 2006,
 Flower by Kenzo Summer Fragrance 2014,
 Flower by Kenzo Winter Flowers,
 Flower Tag,
 Flower Tag Eau de Parfum,
 Flower in the Air,
 Flower in the Air Eau de Toilette,
 Flower in the Air Eau Florale,
 Flower in the Air Summer Edition,
 Kenzo Homme Boisee,
 Kenzo Homme Eau de Parfum,
 Kenzo Homme Eau de Parfum,
 Kenzo Homme Eau de Toilette,
 Kenzo Homme Eau de Toilette Intense,
 Kenzo Homme Fresh,
 Kenzo Homme Fresh Eau de Parfum,
 Kenzo Homme Night,
 Kenzo Homme Sport,
 Kenzo Homme Sport Extreme,
 Kenzo pour Homme,
 Amour My Love,
 Jeu d'Amour,
 Jeu d'Amour Eau de Toilette,
 Jeu d'Amour FÃ©lin,
 Jeu d'Amour l'Elixir,
 Kenzo Jungle Homme,
 Kenzo Jungle L'Elephant,
 Kenzo Jungle le Tigre,
 CÃ¨dre Secret,
 Ciel Magnolia,
 Coeur Azuki,
 Nuit Tatami,
 Poudre Matcha,
 RÃªve Lotus,
 Soleil ThÃ©,
 Kenzo World,
 Kenzo World Collector,
 Kenzo World Eau de Toilette,
 Kenzo World Fantasy Collection Eau de Parfum,
 Kenzo World Fantasy Collection Eau de Parfum Intense,
 Kenzo World Fantasy Collection Eau de Toilette,
 Kenzo World Intense,
 Kenzo World Power,
 Kenzo World Power Collector,
 Kenzo World Power Eau de Toilette,
 KenzoKi Bamboo Leaf (Energizing),
 KenzoKi Ginger Flower (Euphoric),
 KenzoKi Rice Steam (Sensual),
 KenzoKi White Lotus (Relaxing),
 L'Eau 2 Kenzo pour Femme,
 L'Eau 2 Kenzo pour Homme,
 L'Eau Kenzo Aquadisiac pour Femme,
 L'Eau Kenzo Aquadisiac pour Homme,
 L'Eau Kenzo Boisee,
 L'Eau Kenzo Florale,
 L'Eau Kenzo Intense pour Femme,
 L'Eau Kenzo Intense pour Homme,
 L'Eau Kenzo Pour Femme Hyper Wave,
 L'Eau Kenzo Pour Homme Hyper Wave,
 L'Eau par Kenzo,
 L'Eau par Kenzo Colors pour Femme,
 L'Eau par Kenzo Colors pour Homme,
 L'Eau par Kenzo Eau Indigo pour Femme,
 L'Eau par Kenzo Eau Indigo pour Homme,
 L'Eau par Kenzo Electric Wave pour Femme,
" L'Eau par Kenzo Electric Wave pour Homme
 ",
 L'Eau par Kenzo Ice pour Femme,
 L'Eau par Kenzo Ice pour Homme,
 L'Eau par Kenzo Love L'Eau,
 L'Eau par Kenzo Love L'Eau pour Homme,
 L'Eau par Kenzo Mirror Edition pour Femme,
 L'Eau par Kenzo Mirror Edition pour Homme,
 L'Eau par Kenzo pour Femme Limited Edition,
 L'Eau par Kenzo pour Homme,
 L'Eau par Kenzo pour Homme Limited Edition,
 L'Eau par Kenzo Wild,
 L'Eau par Kenzo Wild pour Homme,
 Eau de Fleur de Camelia,
 Eau De Fleur de Magnolia,
 Eau de Fleur de Prunier,
 Eau De Fleur de Soie,
 Eau De Fleur de ThÃ©,
 Eau de Fleur de Yuzu,
 Madly Kenzo Oud Collection,
 Madly Kenzo!,
 Madly Kenzo! Eau de Toilette,
 Madly Kenzo! Kiss ?n Fly,
 Totem Blue,
 Totem Orange,
 Totem Yellow,
 Aedes de Venustas,
 Al Oudh,
 Ananas Fizz,
 Bana Banana,
 Batucada,
 Bois Farine,
 Caligna,
 Cascarille,
 Coeur de Vetiver Sacre,
 Cote d?Amour,
 Couleur Vanille,
 DrÃ´le de Rose,
 Dzing!,
 Dzongkha,
 Fleur D'Oranger,
 Fleur d'Oranger 2007,
 Fleur de Carotte,
 Fleur de Liane,
 Fleur de Narcisse 2006,
 Fou d'Absinthe,
 Havana Vanille (Vanille Absolument),
 Histoire d'Orangers,
 Iris Pallida 2007,
 Jacinthe de Bois,
 Jatamansi,
 Jour de Fete,
 L'Eau d'Ambre,
 L'Eau D'Ambre ExtrÃªme,
 L'Eau de L'Artisan,
 L'eau du Caporal,
 L'Eau du Navigateur,
 L'Ete en Douce (Extrait de Songe),
 L?Ete en Douce,
 La Chasse aux Papillons,
 La Chasse aux Papillons Extreme,
 La Haie Fleurie,
 Mandarine,
 Mandarine Tout Simplement,
 Mechant Loup,
 MÃ©moire de Roses,
 Mimosa Pour Moi,
 Mon Numero 1,
 Mon Numero 10,
 Mon Numero 3,
 Mon Numero 4,
 Mon Numero 6,
 Mon Numero 7,
 Mon Numero 8,
 Mure et Musc,
 Mure et Musc Cologne,
 Mure Et Musc Extrait de Parfum,
 Mure et Musc Extreme,
 Mure Et Musc Extreme Edition Limitee Pour Le Printemps,
 Navegar,
 Noir Exquis,
 Nuit de Tubereuse,
 Oeillet Sauvage,
 Orchidee Blanche,
 Passage d'Enfer,
 Passage d'Enfer ExtrÃªme,
 Patchouli Patch,
 Piment Brulant,
 Poivre Piquant,
 Premier Figuier,
 Premier Figuier Extreme,
 Riviera Palace,
 Rose PrivÃ©e,
 Safran Troublant,
 Santal,
 Seville a l'Aube,
 Tea for Two,
 The Pour Un Ete,
 Timbuktu,
 Traversee du Bosphore,
 Tubereuse,
 Un Zeste d'EtÃ©,
 Vanilia,
 Verte Violette,
 Vetiver,
 Voleur de Roses,
 Au Bord de L'eau,
 Champ de Baies,
 Champ de Fleurs,
 L'Eau de L'Artisan Eau de Cologne,
 Mon Numero 9,
 Sur L'Herbe,
 Amour Nocturne,
 Deliria,
 Haute Voltige,
 Onde Sensuelle,
" Rappelle-Toi
 ",
 Skin on Skin,
 Bois des Sables,
 Contes du Levant,
 Fables d'Orient,
 LÃ©gendes du CÃ¨dre,
 Ode Ã  l'Oudh,
 Arcana Rosa 9,
 Crepusculum Mirabile 63,
 Glacialis Terra 18,
 Mirabilis 60,
 Obscuratio 25,
 Tenebrae 26,
 Venenum 32,
 Violaceum 2,
 CÃ©drat CÃ©ruse,
 Iris de Gris,
 Musc Amarante,
 Tonka Blanc,
 VÃ©tiver Ãcarlate,
 Bucoliques de Provence,
 Le Chant de Camargue,
 Mandarina Corsica,
 Mont de Narcisse,
 Un Air de Bretagne,
 D'Humeur a Rien,
 D'Humeur a Rire,
 D'Humeur Jalouse,
 D'Humeur Massacrante,
 D'Humeur Reveuse,
 4 Reines,
 Ambre,
 Bois FlottÃ© Eau de Parfum,
 Calanques,
 Delice des Fleurs,
 Delice des Fruits,
 Eau d'Azur,
 Eau d'Iparie,
 Eau de Cade,
 Eau de Cedrat,
 Eau de la Recolte Bleue,
 Eau de Miel,
 Eau de Vanilliers,
 Eau de VÃ©tyver,
 Eau des 4 Reines,
 Eau des 4 Voleurs,
 Eau des 7 Fleurs,
 Eau des Baux,
 Eau du Badian,
 Eau du Val (Magnolia),
 Eau Maman & Bebe,
 Feu d'Orange Intense Eau de Toilette,
 Fleur Cherie,
 Fleurs de Brignoles (Plum Blossom),
 Jardin En Fete (Festive Garden),
 Joyeuses FÃªtes,
 Karite Bebe,
 KaritÃ© CorsÃ© Eau de Parfum,
 L'Homme Cologne Cedrat,
 L'Occitan Eau de Toilette,
 Lavande Blanche,
 Lavande Eau de Cologne,
 Lavande Eau de Toilette,
 Magical Leaves,
 Marvellous Flowers,
 Miel & Citron (Honey & Lemon),
 Miel & Citron Pailletee Shimmering,
 Miel & Vanille (Honey & Vanilla),
 Neroli Eau de Parfum,
 Olivier OndÃ© Eau de Parfum,
 Orange Leaves Eau de Cologne,
 Organic Certified Lavender Fragrance,
 Osmanthus,
 Peach Blossom,
 Peony,
 Pivoine Delicate,
 Pivoine Flora (2015),
 Pivoine Flora Eau de Parfum,
 Pivoine Flora Eau de Toilette,
 Rose,
 Rose & Reine,
 Rose 4 Reines,
 Rose Aurore Eau Fraiche,
 Rose Calisson,
 Rose Confite,
 Rose des Champs,
 Rose Jardin Delice,
 Rose Jasmin,
 Rose Neroli,
 Rose Nuit de Mai,
 Roses et Reines,
 Roses et Reines en Rouge Eau de Toilette,
 Roses et Reines Jardin Secret,
 Roses et Reines Rose Originelle,
 Ruban d'Orange,
 The Bergamote - Bergamot Tea,
 The Blanc (White Tea),
 ThÃ© Vert,
 The Vert (Green Tea),
 The Vert a la Menthe (Green Tea with Mint),
 The Vert au Jasmin,
 Verdon,
 Ambre Amande (Amber Almond),
 Musc Rose (Musk Rose),
 Oud Praline,
 Bergamota e BasÃ­lico,
 Lavanda,
 Pimenta Rosa e Tangerina,
 Verbena CÃ­trica,
 Blossom Dew RosÃ©e de Fleurs,
 Arlesienne,
 ArlÃ©sienne,
 Brume Corps FraÃ®che Verveine,
 Brume Corps FraÃ®che Verveine L'Occitane en Provence,
 Brume FraÃ®che ThÃ© Vert,
 Brume FraÃ®cheur Multi-Usage Rose,
 Brume FraÃ®cheur ParfumÃ©e Fleurs de Cerisier Infusion FruitÃ©e,
 Brume FraÃ®cheur Roses et Reines,
 Brume FraÃ®cheur Visage Fleurs de Cerisier,
 Brume RafraÃ®chissante Corps & Cheveux Verveine Sorbet,
 Brume Vivifiante Corps & Cheveux Verveine Agrumes,
 Cerisier Etoile,
 Cerisier Irise,
 Cerisier Papillon,
 Cerisier Pastel Eau LÃ©gÃ¨re,
 Cerisier Rouge Eau Intense,
 Cherry (Cerisier),
 Cherry Blossom Eau de Toilette Intense,
 Cherry Princess,
 Fleurs De Cerisier,
 Fleurs de Cerisier Eau FraÃ®che,
 Fleurs de Cerisier Folie Florale,
 Fleurs de Cerisier Happy Cherry Eau De Toilette,
 Fleurs de Cerisier Infusion FruitÃ©e,
 Fleurs de Cerisier L'Eau,
 Wild Cherry Tree Eau de Toilette,
 Bois de Cedre CÃ©drat,
 Cassis Rhubarbe,
 Citron Noir,
 Figuer & Rose,
 Fleur & Passion,
 Framboise & The Vert Matcha,
 Mandarine & Immortelle,
" Orange, Feuilles Et Fleurs",
 Rose Safran,
 Rose Eau Parfumee Souffle Apaisant,
 Rose Eau Parfumee Souffle Euphorisant,
 Rose Eau Parfumee Souffle Vivifiant,
 Eau Captivante,
 Eau Ravissante,
 Eau Spontanee,
 Eau Universelle,
 Herbae,
 Herbae Clary Sage Eau de Toilette,
 Herbae L'Eau,
 Citrus Verbena Intense,
 Citrus Verbena Summer,
 Citrus Verbena Summer Fragrance 2009,
 Frisson de Verveine,
 Verbena Mint,
 Verbena Sorbet,
 Verbena Summer Secret 2010,
 Verbena Sun,
 Verveine,
 Verveine 2020,
 Verveine Agrumes 2008,
 Verveine Agrumes 2015,
 Verveine Agrumes 2020,
 Verveine Agrumes 2022,
 Verveine Cactus,
 Verveine Mandarine,
 Verveine Menthe,
 Verveine Sorbet,
 Jasmin Immortelle Neroli,
 Pamplemousse Rhubarb,
 Ambre & Santal,
 CÃ¨dre & Oranger,
 Figuier & Osmanthus,
 Fleur d?Or & Acacia,
 Iris Bleu & Iris Blanc,
 Jasmin & Bergamote,
 Magnolia & Mure,
 Mer & Mistral,
 NÃ©roli & OrchidÃ©e,
 NÃ©roli & OrchidÃ©e Eau Intense,
 Oud & Rose,
 Rose & Osmanthus,
 The Vert & Bigarade,
 Vanille & Narcisse,
 Violette & Rose de Mai,
 Ambre,
 Eau d'Iparie,
 Eau des 4 Voleurs,
 ThÃ© Vert Eau de Toilette,
 Notre Flore Cedar,
 Notre Flore Iris,
 Notre Flore Jasmin,
 Notre Flore Myrte,
 Notre Flore Neroli,
 Terre de Lumiere,
 Terre de Lumiere Edition Or,
 Terre de LumiÃ¨re Intense,
 Terre de Lumiere L'Eau,
 Terre de Lumiere Sparkling Edition In Oil,
 Immortelle de Corse,
 Jasmin d'Egypte,
 Labdanum de Seville,
 Mimosa de l'Esterel,
 Neroli de Nabeul,
2000,
 Booster,
 Eau de Sport,
 Femme de Lacoste,
 Inspiration,
 Lacoste,
 Lacoste Booster,
 Lacoste Elegance,
 Lacoste for Women,
 Lacoste L!ive,
 Lacoste Live,
 Lacoste Pour Homme,
 Land,
 Match Point,
 Match Point Eau De Parfum,
 Red,
 Challenge,
 Challenge Re/Fresh,
 Eau de Lacoste,
 Eau De Lacoste Sensuelle,
 Eau de Lacoste L.12.12 Blanc Limited Edition,
 Eau de Lacoste L.12.12 Blanc Pure Collector Edition Pour Homme x Jeremyville,
