user_id,gender,nation,brand,fragrance,user_rating
Madkat,W,USA,Love & Toast by Margot Elena,Persimmon Plum,4.8
Madkat,W,USA,The Healing Garden,Green Tea Therapy,5.7
Madkat,W,USA,Avon,Tomorrow,7.5
Madkat,W,USA,Scentsy,Satin Sheets,7.2
Madkat,W,USA,Scentsy,Simply Irresistible,6.2
Madkat,W,USA,Pacifica,Tuscan Blood Orange PERFUMEZ,4.8
Madkat,W,USA,Pacifica,Madagascar Spice PERFUMEZ,5.7
Madkat,W,USA,Bath & Body Works,Citron,6.0
Madkat,W,USA,Antonio Banderas,Spirit for Men EAU DE TOILETTEZ,5.2
Madkat,W,USA,Bath & Body Works,Stress Relief - Eucalyptus Spearmint,4.5
Madkat,W,USA,Ghost,Summer Flirt,4.8
Madkat,W,USA,Avon,Brocade COLOGNEZ,4.0
Madkat,W,USA,Avon,Régence / Elégance COLOGNEZ,5.3
Madkat,W,USA,Jordin Sparks,Ambition,3.3
Madkat,W,USA,Pacifica,Indian Coconut Nectar PERFUMEZ,6.0
Madkat,W,USA,Harajuku Lovers / Gwen Stefani,Harajuku Lovers Lil'Angel EAU DE TOILETTEZ,4.5
Madkat,W,USA,Cuba,Cuba Gold EAU DE TOILETTEZ,4.7
Madkat,W,USA,mark.,Self Sanctuary Chocolate Orchid,4.8
Madkat,W,USA,Bath & Body Works,Velvet Sugar EAU DE PARFUMZ,6.8
Madkat,W,USA,Cuba,Cuba Jungle - Tiger,8.0
Madkat,W,USA,Calgon,Moon Petal Musk,4.8
Madkat,W,USA,Prince Matchabelli,Sexiest Musk,3.7
Madkat,W,USA,Avon,Extraordinary,7.2
Madkat,W,USA,Lavanila Laboratories,Vanilla Grapefruit EAU DE PARFUMZ,8.0
Madkat,W,USA,Demeter Fragrance Library / The Library Of Fragrance,Moonbeam,3.2
Madkat,W,USA,Paris Hilton,Siren,3.7
Madkat,W,USA,Al Rehab,Balkis EAU DE PARFUMZ,7.2
Madkat,W,USA,Mary Kay,Forever Orchid,7.2
Madkat,W,USA,Victoria's Secret,Seduction - No. 1 Dark Orchid,4.8
Madkat,W,USA,KKW Fragrance / Kim Kardashian,Kim Kardashian,8.0
Madkat,W,USA,Halle Berry,Halle,5.2
Madkat,W,USA,Stetson,Lady Stetson (1986),8.5
Madkat,W,USA,Coty,Ici EAU DE TOILETTEZ,7.2
Madkat,W,USA,Jeanne Arthes,Love Never Dies Gold,6.8
Madkat,W,USA,Avon,Far Away EAU DE PARFUMZ,10.0
Madkat,W,USA,Avon,Imari Mystique,7.7
Madkat,W,USA,Elizabeth Taylor,Diamonds and Sapphires EAU DE TOILETTEZ,6.8
Madkat,W,USA,Andy Warhol,Andy Warhol,6.5
Madkat,W,USA,Avon,Rare Emeralds,4.8
Madkat,W,USA,Gucci,Guilty EAU DE TOILETTEZ,4.0
Madkat,W,USA,XOXO,XOXO,5.3
Madkat,W,USA,Yves Rocher,Shafali Fleur Rare EAU DE TOILETTEZ,6.3
Madkat,W,USA,Al Rehab,Bakhour PERFUME OILZ,6.0
Madkat,W,USA,Davidoff,Cool Water Woman,1.5
Madkat,W,USA,Al Rehab,Dalal EAU DE PARFUMZ,7.2
Madkat,W,USA,Al Rehab,Choco Musk PERFUME OILZ,9.2
Madkat,W,USA,Harajuku Lovers / Gwen Stefani,Wicked Style G,3.8
Madkat,W,USA,Beyoncé,Pulse,5.7
